1,17.525,21.631,0.066
2,17.219,20.675,0.108
3,10.953,19.119,0.147
4,23.862,30.940,0.173
5,9.613,17.042,0.201
6,6.630,20.167,0.228
7,7.025,20.624,0.252
8,6.501,16.085,0.278
9,5.218,17.757,0.306
10,7.469,21.834,0.332
11,5.377,16.854,0.356
12,4.742,18.462,0.382
13,4.833,16.921,0.406
14,4.455,18.434,0.430
15,4.236,18.422,0.468
16,4.056,18.512,0.499
17,3.979,19.548,0.525
18,3.950,18.208,0.550
19,3.827,19.378,0.579
20,3.824,18.140,0.610
21,3.765,19.279,0.634
22,3.718,18.849,0.661
23,3.680,19.266,0.686
24,3.642,18.759,0.714
25,3.612,18.900,0.740
26,3.588,18.852,0.766
27,3.568,18.904,0.791
28,3.544,19.002,0.820
29,3.542,19.744,0.844
30,3.538,19.087,0.869
31,3.537,19.102,0.895
32,3.517,19.979,0.922
33,3.518,19.074,0.945
34,3.502,19.490,0.970
35,3.498,19.200,0.996
36,3.489,19.453,1.022
37,3.482,19.520,1.046
38,3.470,19.646,1.069
39,3.469,19.477,1.094
40,3.462,20.035,1.119
41,3.460,19.759,1.142
42,3.448,19.565,1.168
43,3.438,19.462,1.192
44,3.425,19.470,1.216
45,3.410,19.566,1.240
46,3.416,19.662,1.264
47,3.387,19.719,1.288
48,3.385,19.556,1.312
49,3.363,19.705,1.336
50,3.357,19.564,1.360
51,3.336,19.799,1.384
52,3.313,19.893,1.408
53,3.282,20.052,1.432
54,3.254,20.229,1.457
55,3.254,20.399,1.481
56,3.178,20.710,1.506
57,3.233,19.991,1.531
58,3.170,20.647,1.555
59,3.188,20.421,1.579
60,3.174,20.696,1.603
61,3.136,20.722,1.627
62,3.130,20.627,1.651
63,3.114,20.701,1.675
64,3.074,20.770,1.699
65,3.075,20.426,1.724
66,3.031,20.753,1.749
67,2.997,20.876,1.773
68,2.946,20.911,1.797
69,2.914,20.963,1.821
70,2.900,21.192,1.846
71,2.883,20.460,1.870
72,2.858,21.352,1.894
73,2.894,20.779,1.924
74,2.852,21.204,1.948
75,2.863,20.935,1.972
76,2.848,20.874,1.996
77,2.811,21.002,2.020
78,2.793,20.980,2.045
79,2.769,21.005,2.070
80,2.743,21.054,2.094
81,2.721,21.280,2.118
82,2.749,21.019,2.144
83,2.705,21.151,2.168
84,2.711,21.220,2.192
85,2.694,21.324,2.216
86,2.690,21.130,2.241
87,2.680,21.075,2.266
88,2.656,21.205,2.289
89,2.642,21.234,2.314
90,2.634,21.238,2.338
91,2.610,21.308,2.363
92,2.606,21.048,2.387
93,2.570,21.585,2.412
94,2.612,20.962,2.435
95,2.587,21.350,2.460
96,2.585,21.239,2.484
97,2.574,21.396,2.509
98,2.585,21.330,2.533
99,2.564,21.420,2.557
100,2.555,21.499,2.580
