0,0.043,0.042,0.042
1,0.041,0.042,0.084
2,0.043,0.032,0.116
3,0.045,0.035,0.151
4,0.044,0.034,0.185
5,0.041,0.029,0.214
6,0.049,0.027,0.241
7,0.050,0.026,0.268
8,0.051,0.031,0.299
9,0.046,0.022,0.321
10,0.047,0.023,0.344
11,0.048,0.021,0.365
12,0.050,0.024,0.389
13,0.050,0.030,0.419
14,0.055,0.023,0.442
15,0.053,0.024,0.466
16,0.053,0.023,0.489
17,0.053,0.031,0.520
18,0.053,0.019,0.540
19,0.054,0.024,0.564
20,0.054,0.021,0.585
21,0.055,0.025,0.609
22,0.059,0.029,0.639
23,0.052,0.021,0.660
24,0.056,0.025,0.685
25,0.053,0.026,0.711
26,0.052,0.028,0.739
27,0.058,0.027,0.766
28,0.049,0.034,0.801
29,0.056,0.021,0.822
30,0.051,0.030,0.852
31,0.055,0.028,0.880
32,0.057,0.020,0.900
33,0.057,0.019,0.919
34,0.058,0.018,0.937
35,0.054,0.024,0.961
36,0.058,0.019,0.979
37,0.055,0.019,0.998
38,0.057,0.021,1.019
39,0.058,0.020,1.039
40,0.058,0.018,1.057
41,0.057,0.018,1.075
42,0.058,0.018,1.093
43,0.059,0.020,1.113
44,0.060,0.018,1.131
45,0.058,0.018,1.149
46,0.059,0.019,1.168
47,0.057,0.020,1.188
48,0.061,0.019,1.207
49,0.060,0.018,1.225
50,0.056,0.018,1.243
51,0.063,0.019,1.262
52,0.062,0.018,1.280
53,0.059,0.018,1.298
54,0.063,0.018,1.316
55,0.057,0.018,1.335
56,0.059,0.022,1.357
57,0.059,0.020,1.376
58,0.062,0.020,1.396
59,0.061,0.018,1.414
60,0.063,0.018,1.432
61,0.059,0.019,1.451
62,0.059,0.021,1.472
63,0.060,0.018,1.490
64,0.066,0.018,1.509
65,0.063,0.019,1.528
66,0.062,0.018,1.546
67,0.060,0.019,1.566
68,0.059,0.019,1.584
69,0.060,0.019,1.603
70,0.062,0.018,1.621
71,0.062,0.019,1.640
72,0.064,0.018,1.658
73,0.066,0.018,1.676
74,0.061,0.019,1.695
